----------------Prefab----------------------
undles\UI\UIHelp.prefab   Help:\n1. Mouse Right Move\n2. R Reload Dll\n3. T Transfer Map
undles\UI\CreateRole\UICreateRole.prefab   职业介绍
undles\UI\CreateRole\UICreateRole.prefab   战士多为勇士后人，骁勇善战，始终将荣耀摆在最先，在感受到征召的号角后，总是第一时间冲锋陷阵，无所畏惧。
undles\UI\CreateRole\UICreateRole.prefab   善于运用魔法的力量，喜欢研究如何将自己的法术能力发挥到极致，领悟了魔法的奥秘，法师的能力将无所畏惧。
undles\UI\CreateRole\UICreateRole.prefab   技能介绍
undles\UI\CreateRole\UICreateRole.prefab   请输入玩家名称
undles\UI\CreateRole\UICreateRole.prefab   战士
undles\UI\CreateRole\UICreateRole.prefab   法师
undles\UI\CreateRole\UICreateRole.prefab   猎人
undles\UI\CreateRole\UICreateRole.prefab   唤魔者
undles\UI\CreateRole\UICreateRole.prefab   技能名称
undles\UI\CreateRole\UICreateRole.prefab   创建角色
undles\UI\CreateRole\UICreateRole.prefab   随机名称
undles\UI\CreateRole\UICreateRole.prefab   使用武器：刀、剑
undles\UI\CreateRole\UICreateRole.prefab   技能展示
undles\UI\CreateRole\UILobby.prefab   职业:战士/法师
undles\UI\CreateRole\UILobby.prefab   玩家名字七个字
undles\UI\CreateRole\UILobby.prefab   等级:10
undles\UI\CreateRole\UILobby.prefab   点击创建新角色
undles\UI\CreateRole\UILobby.prefab   上一页
undles\UI\CreateRole\UILobby.prefab   下一页
undles\UI\CreateRole\UILobby.prefab   进入游戏
undles\UI\CreateRole\UILobby.prefab   删除角色
undles\UI\CreateRole\UILobby.prefab   1级
undles\UI\Demon\UIDemon.prefab   活动规则
undles\UI\Demon\UIDemon.prefab   1. 活动开启后会在场景中随机生产一定数量恶魔。
undles\UI\Demon\UIDemon.prefab   2.恶魔或生存者获得胜利的一方将获得奖励。
undles\UI\Demon\UIDemon.prefab   3.恶魔击败生存者会将生存者转化为自己的随从。
undles\UI\Demon\UIDemon.prefab   进入活动
undles\UI\Demon\UIDemon.prefab   获胜阵营奖励
undles\UI\Demon\UIDemonMain.prefab   准备倒计时 0:0
undles\UI\Demon\UIDemonMain.prefab   第1名 玩家1
undles\UI\Demon\UIDemonMain.prefab   玩家排名
undles\UI\Dungeon\UIDungeon.prefab   即将刷新的领主
undles\UI\Dungeon\UIDungeon.prefab   显示设置
undles\UI\Dungeon\UIDungeon.prefab   狼王
undles\UI\Dungeon\UIDungeon.prefab   显示
undles\UI\Dungeon\UIDungeon.prefab   关卡战役
undles\UI\Dungeon\UIDungeonHappyMain.prefab   金币移动
undles\UI\Dungeon\UIDungeonHappyMain.prefab   冷却时间：0:25
undles\UI\Dungeon\UIDungeonHappyMain.prefab   消耗金币：10000
undles\UI\Dungeon\UIDungeonHappyMain.prefab   消耗钻石：100
undles\UI\Dungeon\UIDungeonHappyMain.prefab   免费移动次数: 0/5
undles\UI\Dungeon\UIDungeonHappyMain.prefab   开始移动
undles\UI\Dungeon\UIDungeonHappyMain.prefab   钻石移动
undles\UI\Dungeon\UIDungeonHappyMain.prefab   活动结束倒计时 0:0
undles\UI\Dungeon\UIDungeonHappyMain.prefab   拾取道具
undles\UI\Dungeon\UIDungeonItem.prefab   家园危机
undles\UI\Dungeon\UIDungeonItem.prefab   第一章
undles\UI\Dungeon\UIDungeonItem.prefab   点击进入
undles\UI\Dungeon\UIDungeonItem.prefab   {1}级解锁
undles\UI\Dungeon\UIDungeonLevel.prefab   选择当前难度
undles\UI\Dungeon\UIDungeonLevel.prefab   激活等级:15级
undles\UI\Dungeon\UIDungeonLevel.prefab   适合刚进入的探险者
undles\UI\Dungeon\UIDungeonLevel.prefab   普通难度
undles\UI\Dungeon\UIDungeonLevel.prefab   适合经常探险,爆率提升20%
undles\UI\Dungeon\UIDungeonLevel.prefab   苦难难度
undles\UI\Dungeon\UIDungeonLevel.prefab   不容一丝懈怠,爆率提升50%
undles\UI\Dungeon\UIDungeonLevel.prefab   地狱难度
undles\UI\Dungeon\UIDungeonMapTransfer.prefab   传送
undles\UI\Dungeon\UIDungeonMapTransfer.prefab   章节名称
undles\UI\Dungeon\UIEnterMapHint.prefab   地图内发现神秘的东西,需要你探索发现哦！
undles\UI\Dungeon\UIEnterMapHint.prefab   深渊模式
undles\UI\Dungeon\UIEnterMapHint.prefab   曙光之地
undles\UI\Happy\UIHappyMain.prefab   免费移动
undles\UI\Happy\UIHappyMain.prefab   距离下次刷新奖励的时间  10:00
undles\UI\Hunt\UIHunt.prefab   狩猎
undles\UI\Hunt\UIHuntRanking.prefab   狩猎剩余时间
undles\UI\Hunt\UIHuntRanking.prefab   0分0秒
undles\UI\Hunt\UIHuntRanking.prefab   玩家的名字
undles\UI\Hunt\UIHuntRanking.prefab   狩猎的数量:999
undles\UI\Hunt\UIHuntRanking.prefab      2    玩家的名字
undles\UI\Hunt\UIHuntRanking.prefab         狩猎的数量:99
undles\UI\Hunt\UIHuntRanking.prefab   狩猎规则
undles\UI\Hunt\UIHuntRanking.prefab   1. 活动期间怪物正常掉落,击败怪物不消耗体力。
undles\UI\Hunt\UIHuntRanking.prefab   2.活动期间,普通怪物的掉落率提升200%
undles\UI\Hunt\UIHuntRanking.prefab   3.击败怪物等级不能低于自身9级。
undles\UI\Hunt\UIHuntRanking.prefab   4.活动结束后奖励会通过邮件进行统一发放。
undles\UI\Hunt\UIHuntRanking.prefab   第1名奖励
undles\UI\Hunt\UIHuntRanking.prefab   第2~3名奖励
undles\UI\Hunt\UIHuntRanking.prefab   第4~10名奖励
undles\UI\JiaYuan\UIJiaYuanBag.prefab   我的种子
undles\UI\JiaYuan\UIJiaYuanBag.prefab   全部
undles\UI\JiaYuan\UIJiaYuanBag.prefab   种子
undles\UI\JiaYuan\UIJiaYuanBag.prefab   种子\n
undles\UI\JiaYuan\UIJiaYuanBag.prefab   种植植物
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   500000
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   探宝1次
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   探宝10次
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   150
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   1350
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   5:14:52秒后免费领取
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   53:14:52秒后免费领取
undles\UI\JiaYuan\UIJiaYuanChouKa.prefab   奖励展示
undles\UI\JiaYuan\UIJiaYuanCookbook.prefab   提示：每次制作成功菜肴，如果配方正确，可以领悟对应的食谱
undles\UI\JiaYuan\UIJiaYuanCookbookItem.prefab   烤肉
undles\UI\JiaYuan\UIJiaYuanCookbookItem.prefab   制造配方
undles\UI\JiaYuan\UIJiaYuanCooking.prefab    	
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   锁定
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   开始制作
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   1. 使用不同的食材可以制造出不同的菜肴
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   2.每种菜肴烹饪会有2-4种不同的材料构成
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   3.商人也会在收购一些比较热销的商品哦
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   222222222222222
undles\UI\JiaYuan\UIJiaYuanCooking.prefab   制作烹饪
undles\UI\JiaYuan\UIJiaYuanDaShi.prefab   大师
undles\UI\JiaYuan\UIJiaYuanDaShi.prefab   Role
undles\UI\JiaYuan\UIJiaYuanDaShi.prefab   美味
undles\UI\JiaYuan\UIJiaYuanDaShiPro.prefab   炒鸡蛋
undles\UI\JiaYuan\UIJiaYuanDaShiPro.prefab   请大师品尝
undles\UI\JiaYuan\UIJiaYuanDaShiPro.prefab   提示：当单条属性值超过80%时,每日凌晨属性会小浮动下降自己。
undles\UI\JiaYuan\UIJiaYuanDaShiProItem.prefab   100/1000
undles\UI\JiaYuan\UIJiaYuanDaShiProItem.prefab   攻击
undles\UI\JiaYuan\UIJiaYuanDaShiShowItem.prefab   品尝50次开启
undles\UI\JiaYuan\UIJiaYuanDaShiShowItem.prefab   攻击+50点
undles\UI\JiaYuan\UIJiaYuanDaShiShowItem.prefab   美味大师
undles\UI\JiaYuan\UIJiaYuanFood.prefab   收购
undles\UI\JiaYuan\UIJiaYuanFood.prefab   烹饪
undles\UI\JiaYuan\UIJiaYuanFood.prefab   食谱
undles\UI\JiaYuan\UIJiaYuanMain.prefab   附近
undles\UI\JiaYuan\UIJiaYuanMain.prefab   好友
undles\UI\JiaYuan\UIJiaYuanMain.prefab   采摘:10/10  \n打扫:10/10
undles\UI\JiaYuan\UIJiaYuanMain.prefab   10/10
undles\UI\JiaYuan\UIJiaYuanMain.prefab   耕地
undles\UI\JiaYuan\UIJiaYuanMain.prefab   11/15
undles\UI\JiaYuan\UIJiaYuanMain.prefab   人口
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   种植
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   查看
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   收获
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   铲除
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   驱赶
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   开启
undles\UI\JiaYuan\UIJiaYuanMenu.prefab   打扫
undles\UI\JiaYuan\UIJiaYuanMystery.prefab   商店购买
undles\UI\JiaYuan\UIJiaYuanMystery.prefab   刷新
undles\UI\JiaYuan\UIJiaYuanMysteryItem.prefab   剩余 1/30
undles\UI\JiaYuan\UIJiaYuanMysteryItem_A.prefab   家园99级开启
undles\UI\JiaYuan\UIJiaYuanOneKeyPlant.prefab   一键种植
undles\UI\JiaYuan\UIJiaYuanOneKeyPlant.prefab   开始种植
undles\UI\JiaYuan\UIJiaYuanOneKeyPlant.prefab   可以种植地数量:1/1
undles\UI\JiaYuan\UIJiaYuanPastureItem.prefab   成长周期
undles\UI\JiaYuan\UIJiaYuanPastureItem.prefab   购买资金
undles\UI\JiaYuan\UIJiaYuanPastureItem.prefab   养
undles\UI\JiaYuan\UIJiaYuanPastureItem.prefab   人口：3
undles\UI\JiaYuan\UIJiaYuanPastureItem_A.prefab   家园等级0级开启
undles\UI\JiaYuan\UIJiaYuanPasture_B.prefab   剩余刷新时间:10:30
undles\UI\JiaYuan\UIJiaYuanPet.prefab   宠物
undles\UI\JiaYuan\UIJiaYuanPet.prefab   仓库
undles\UI\JiaYuan\UIJiaYuanPetFeed.prefab   森林白狼
undles\UI\JiaYuan\UIJiaYuanPetFeed.prefab   喂食
undles\UI\JiaYuan\UIJiaYuanPetFeed.prefab   心情
undles\UI\JiaYuan\UIJiaYuanPetFeed.prefab   经验收益: 200/小时
undles\UI\JiaYuan\UIJiaYuanPetFeed.prefab   --请选择要喂食的道具--
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   停止散步
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   宠物散步
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   暂无宠物
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   等级：0
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   已经获得经验
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   已经散步：0分
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   寻找宠物
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   经验产出
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   10级家园开启
undles\UI\JiaYuan\UIJiaYuanPetWalk.prefab   提示:点击散步的宠物可以喂食增加心情值,心情值越高获得奖励会越多。
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   向日葵
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   发芽期
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   当前阶段 ： 发芽期
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   下一阶段： 10：00：00
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   预计收获： 10：00：00
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   收获道具
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   查看信息
undles\UI\JiaYuan\UIJiaYuanPlanWatch.prefab   收获时间： 10：00：00
undles\UI\JiaYuan\UIJiaYuanPurchase.prefab   刷新倒计时： 10:10:10
undles\UI\JiaYuan\UIJiaYuanPurchaseItem.prefab   出售
undles\UI\JiaYuan\UIJiaYuanPurchaseItem.prefab   制作配方提示
undles\UI\JiaYuan\UIJiaYuanPurchaseItem.prefab   资金：0
undles\UI\JiaYuan\UIJiaYuanPurchaseItem.prefab   10:10:10
undles\UI\JiaYuan\UIJiaYuanRecord.prefab   家园来访信息
undles\UI\JiaYuan\UIJiaYuanRecord.prefab   玩家幸福的瞬间来到你的家园。
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   提示：此仓库只可存储藏宝图和生活技能相关道具
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   储藏
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   一键放入
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   我的背包
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   我的仓库
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   整理仓库
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   一键取出
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   藏宝图
undles\UI\JiaYuan\UIJiaYuanTreasureMapStorage.prefab   生活
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   耕地：
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   20
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   人口：
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   幸福瞬间的家园
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   等级:1级
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   200/200
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   家园经验
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   人口上线提升至10
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   兑换家园资金
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   兑换家园经验
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   升级家园
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   提示: 经验产出1000/小时,预计5小时后可升级家园
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   兑换次数：10/10
undles\UI\JiaYuan\UIJiaYuanUpLv.prefab   升级后可获得
undles\UI\JiaYuan\UIJiaYuanVisitItem.prefab   访问
undles\UI\JiaYuan\UIJiaYuanVisitItem.prefab   玩家名字
undles\UI\JiaYuan\UIJiaYuanVisitItem.prefab   x5
undles\UI\JiaYuan\UIJiaYuanVisitItem.prefab   清理
undles\UI\JiaYuan\UIJiaYuanWarehouse.prefab   第1页
undles\UI\JiaYuan\UIJiaYuanWarehouse.prefab   第2页
undles\UI\JiaYuan\UIJiaYuanWarehouse.prefab   第3页
undles\UI\JiaYuan\UIJiaYuanWarehouse.prefab   第4页
undles\UI\Login\UIDeleteAccount.prefab   删除账号
undles\UI\Login\UIDeleteAccount.prefab   请输入账号
undles\UI\Login\UIDeleteAccount.prefab   请输入密码
undles\UI\Login\UIDeleteAccount.prefab   请输入账号...
undles\UI\Login\UIDeleteAccount.prefab   请输入密码...
undles\UI\Login\UILogin.prefab   Toggle
undles\UI\Login\UILogin.prefab   已阅读并同意《用户协议》以及《隐私协议》
undles\UI\Login\UILogin.prefab   __________
undles\UI\Login\UILogin.prefab   登录
undles\UI\Login\UILogin.prefab   网通1区
undles\UI\Login\UILogin.prefab   选择服务器
undles\UI\Login\UILogin.prefab   切换账号
undles\UI\Login\UILogin.prefab   弹框
undles\UI\Login\UILogin.prefab   多个tips
undles\UI\Login\UILogin.prefab   消息框
undles\UI\Login\UILogin.prefab   实名认证
undles\UI\Login\UILogin.prefab   抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。
undles\UI\Login\UILogin.prefab   感谢名单
undles\UI\Login\UILogin.prefab   更新公告
undles\UI\Login\UILogin.prefab   区服列表
undles\UI\Login\UILogin.prefab   登录中...
undles\UI\Login\UILogin.prefab   已阅读并同意《用户协议》及《隐私协议》
undles\UI\Login\UILogin.prefab   登录游戏
undles\UI\Login\UILogin.prefab   提示:手机和微信登录支持安卓和苹果设备切换,QQ登录不支持。
undles\UI\Login\UILogin.prefab   QQ登录
undles\UI\Login\UILogin.prefab   微信登录
undles\UI\Login\UILogin.prefab   注册
undles\UI\Login\UILogin.prefab   手机登录
undles\UI\Login\UILogin.prefab   TapTap
undles\UI\Login\UILogin.prefab   Tap登录
undles\UI\Login\UILogin.prefab   Apple登录
undles\UI\Login\UILogin.prefab   账号注册
undles\UI\Login\UILogin.prefab   +86
undles\UI\Login\UILogin.prefab   请输入手机号
undles\UI\Login\UILogin.prefab   点击获取验证码
undles\UI\Login\UILogin.prefab   获取信息中...
undles\UI\Login\UILogin.prefab   请输入验证码
undles\UI\Login\UILogin.prefab   提交验证码
undles\UI\Login\UILogin.prefab   请选择一种登录方式创建账号登录游戏
undles\UI\Login\UILogin.prefab   本机号码一键登录
undles\UI\Login\UILogin.prefab   其他登录方式
